DATE;Holiday;Temperature;Solar_Irradiation;Power;DATE_YYYY_MM_DD;DATE_year;DATE_month_year;DATE_week_year;DATE_day_year;DATE_day_month;DATE_day_week;DATE_hour_year;DATE_hour_week;DATE_hour_day;DATE_weekday;slope_Temp;slope_Irrad;intercept;minimum;Power_fitted;Power_residuals;IS_Outlier
2019-06-18 13:00:00+00:00;True;22.83;832.51;1.4;2019-06-18;2019;6;25;169;18;1;4045;37;13;True;-6.029085381673999;-0.0185135763714662;122.25124884877118;1.9873673718836689;1.9873673718836689;0.5873673718836689;False
2019-06-18 14:00:00+00:00;True;23.05;746.12;13.1;2019-06-18;2019;6;25;169;18;1;4046;38;14;True;-5.9323289672744;-1.467052255160814e-08;117.76519690654224;3.832778329732301;3.832778329732301;-9.267221670267698;False
2019-06-18 15:00:00+00:00;True;23.34;653.22;0.1;2019-06-18;2019;6;25;169;18;1;4047;39;15;True;-5.283018838268019;-0.0789407792056158;121.46329371864516;0.2006776874511518;0.2006776874511518;0.1006776874511518;False
2019-06-18 16:00:00+00:00;True;23.32;528.91;0.1;2019-06-18;2019;6;25;169;18;1;4048;40;16;True;-5.406489327609389;-0.0813772480747945;117.27381147570684;3.511893566638608;3.511893566638608;3.411893566638608;False
2019-06-18 17:00:00+00:00;True;22.93;393.84;1.0;2019-06-18;2019;6;25;169;18;1;4049;41;17;True;-4.74050318013769;-0.1000328408585533;99.2945166313694;0.2437469941104135;0.2437469941104135;-0.7562530058895864;False
2019-06-18 18:00:00+00:00;True;22.15;257.17;0.1;2019-06-18;2019;6;25;169;18;1;4050;42;18;True;-2.6652401296565844;-0.0585875670622646;56.27439140642301;0.5297277817963915;0.5297277817963915;0.4297277817963915;False
2019-06-18 19:00:00+00:00;True;21.33;133.97;9.6;2019-06-18;2019;6;25;169;18;1;4051;43;19;True;-2.6083761924540063;-0.4267007689584655;56.49692821094652;4.851843639688675;4.851843639688675;-4.748156360311325;False
2019-06-18 20:00:00+00:00;True;19.96;39.92;0.8;2019-06-18;2019;6;25;169;18;1;4052;44;20;True;-2.673417635102836;-1.21050930559255;51.85439617131343;1.2861009591882937;1.2861009591882937;0.48610095918829366;False
2019-06-18 21:00:00+00:00;True;18.36;4.27;2.3;2019-06-18;2019;6;25;169;18;1;4053;45;21;True;-3.172357011971815;-0.3346519341923004;55.40049499438434;2.4352114419167115;2.4352114419167115;0.13521144191671164;False
2019-06-18 22:00:00+00:00;True;16.9;1.31;0.1;2019-06-18;2019;6;25;169;18;1;4054;46;22;True;-2.3102866777591053;-2.370261477638743e-10;35.87005965647202;0.0701028318276021;0.0701028318276021;-0.029897168172397903;False
